Merk;Prijs;Aantal deuren;Aantal stoelen;Adverteerder;Bouwjaar;Bovag garantie;Brandstof;Carrosserie;Kenteken;Kilometerstand;Kleur;Model;Motorinhoud;NAP Nationale Auto Pas;Opties;Transmissie;Vermogen
['Ferrari'];[9.95];;;;;;;;;;;;;;;;
['Ferrari'];[89990.0];['2'];['2'];['Bedrijf'];['2005'];['Nee'];['Benzine'];['Coupé'];['JT-985-L'];['28141'];['Zilver of Grijs'];['F430'];['4308'];['Nee'];['ABS, Airbags, Bekleding leder, Boordcomputer, Centrale vergrendeling, Airconditioning, Elektrische ramen, Electronic Stability Program (ESP), Navigatiesysteem, Sportstoelen'];['Automaat'];['486']
['Ferrari'];[79950.0];['2'];['4'];['Bedrijf'];['2006'];['Nee'];['Benzine'];['Coupé'];['94-PPD-9'];['71281'];['Zwart'];['Overige modellen'];['5748'];['Nee'];['Bekleding leder, Centrale vergrendeling, Airconditioning, Elektrische ramen, Metallic lak, Navigatiesysteem, Parkeersensor, Sportstoelen, Stoelverwarming, Climate control, Alarm, Elektrische buitenspiegels, Elektrische stoelverstelling, Radio, Startonderbreker, Verwarmde buitenspiegels, Xenon verlichting'];['Automaat'];['540']
['Ferrari'];[289500.0];['2'];['2'];['Bedrijf'];['2016'];['Nee'];['Benzine'];['Cabriolet'];['HX-369-P'];['29800'];['Wit'];['Overige modellen'];['3902'];['Ja'];['ABS, Airbags, Bekleding leder, Airconditioning, Elektrische ramen, Electronic Stability Program (ESP), Lichtmetalen velgen, Open dak, Parkeersensor, Sportstoelen, Climate control'];['Automaat'];['672']
['Ferrari'];[89499.0];['2'];['4'];['Bedrijf'];['2005'];['Nee'];['Benzine'];['Coupé'];['6-XHR-07'];['34482'];['Zwart'];['Overige modellen'];['5748'];['Nee'];['Bekleding leder, Metallic lak, Parkeersensor, Alarm, Startonderbreker'];['Automaat'];['540']
['Ferrari'];[364500.0];['3'];['2'];['Bedrijf'];['2017'];['Nee'];['Benzine'];['Coupé'];;['9524'];['Overige kleuren'];['F12berlinetta'];['6262'];['Nee'];['ABS, Airbags, Bekleding leder, Elektrische ramen, Electronic Stability Program (ESP), Lichtmetalen velgen, Navigatiesysteem, Alarm, Parkeercamera, Radio, Startonderbreker, Traction-control, Xenon verlichting'];['Automaat'];['741']
['Ferrari'];[219950.0];['2'];['2'];['Bedrijf'];['2015'];['Nee'];['Benzine'];['Cabriolet'];['HH-152-B'];['25190'];['Zwart'];['458'];['4497'];['Nee'];['Centrale vergrendeling, Airconditioning, Elektrische ramen, Lichtmetalen velgen, Navigatiesysteem, Open dak'];['Automaat'];['566']
['Ferrari'];[9.95];;;;;;;;;;;;;;;;
['Ferrari'];[152650.0];['2'];;['Bedrijf'];['2010'];['Nee'];['Benzine'];['Coupé'];['KV-425-V'];['61412'];['Rood'];['458'];['4500'];['Nee'];['ABS, Bekleding leder, Boordcomputer, Centrale vergrendeling, Airconditioning, Elektrische ramen, Lichtmetalen velgen, Navigatiesysteem, Parkeersensor, Alarm, Elektrische stoelverstelling, Radio, Traction-control, Xenon verlichting'];['Automaat'];['566']
['Ferrari'];[79750.0];['2'];['2'];['Particulier'];['2003'];;['Benzine'];['Coupé'];['4-ZRL-85'];;['Overige kleuren'];['360'];['3586'];;['ABS, Airbags, Bekleding leder, Boordcomputer, Centrale vergrendeling, Climate control'];;['400']
